IMDB_ID,Genre
114709,Adventure
114709,Animation
114709,Children
114709,Comedy
114709,Fantasy
113497,Adventure
113497,Children
113497,Fantasy
113228,Comedy
113228,Romance
114885,Comedy
114885,Drama
114885,Romance
113041,Comedy
113277,Action
113277,Crime
113277,Thriller
114319,Comedy
114319,Romance
112302,Adventure
112302,Children
114576,Action
113189,Action
113189,Adventure
113189,Thriller
112346,Comedy
112346,Drama
112346,Romance
112896,Comedy
112896,Horror
112453,Adventure
112453,Animation
112453,Children
113987,Drama
112760,Action
112760,Adventure
112760,Romance
112641,Crime
112641,Drama
114388,Drama
114388,Romance
113101,Comedy
112281,Comedy
113845,Action
113845,Comedy
113845,Crime
113845,Drama
113845,Thriller
113161,Comedy
113161,Crime
113161,Thriller
112722,Crime
112722,Drama
112722,Horror
112722,Mystery
112722,Thriller
112401,Action
112401,Crime
112401,Thriller
114168,Drama
114168,Sci-Fi
113627,Drama
113627,Romance
114057,Drama
114011,Children
114011,Drama
114117,Drama
114117,Romance
112682,Adventure
112682,Drama
112682,Fantasy
112682,Mystery
112682,Sci-Fi
115012,Crime
115012,Drama
112792,Drama
114746,Mystery
114746,Sci-Fi
114746,Thriller
114952,Adventure
114952,Romance
114952,IMAX
112431,Children
112431,Drama
112637,Drama
112637,Romance
112818,Crime
112818,Drama
112286,Documentary
112286,IMAX
113442,Children
113442,Comedy
112697,Comedy
112697,Romance
112749,Drama
114279,Drama
114279,War
112819,Action
112819,Crime
112819,Drama
114272,Drama
113855,Action
113855,Adventure
113855,Fantasy
114681,Comedy
114681,Drama
114681,Thriller
113347,Drama
113347,Romance
114369,Mystery
114369,Thriller
114148,Animation
114148,Children
114148,Drama
114148,Musical
114148,Romance
114916,Drama
114916,Romance
114814,Crime
114814,Mystery
114814,Thriller
109950,Action
109950,Drama
109950,Thriller
113819,Comedy
113819,Drama
113819,Romance
110299,Adventure
110299,Drama
112499,Children
112499,Comedy
113158,Drama
113541,Adventure
113541,Children
113541,Fantasy
113321,Drama
110877,Comedy
110877,Drama
110877,Romance
112714,Drama
112714,Mystery
113419,Adventure
113419,Children
113419,Fantasy
116260,Drama
116260,Thriller
113862,Drama
116126,Comedy
116126,Crime
118002,Comedy
118002,Romance
115683,Comedy
116839,Action
116839,Sci-Fi
116839,Thriller
114753,Drama
113149,Comedy
113149,Romance
113118,Comedy
116367,Action
116367,Comedy
116367,Horror
116367,Thriller
113010,Action
113537,Comedy
113537,Drama
113828,Drama
113828,War
115644,Drama
115644,Romance
115676,Comedy
115676,Drama
114367,Action
114367,Sci-Fi
114367,Thriller
113973,Documentary
112744,Action
112744,Crime
112744,Drama
112744,Thriller
116731,Drama
116731,Thriller
112445,Children
112445,Drama
114660,Crime
114660,Drama
114660,Romance
112379,Comedy
112379,Drama
114039,Drama
114039,Romance
113612,Comedy
113612,Drama
112365,Drama
112365,Romance
118158,Action
118158,Adventure
118158,Drama
116151,Children
116151,Comedy
115697,Comedy
113972,Action
113972,Thriller
113490,Drama
117002,Drama
117002,Horror
117002,Thriller
114825,Comedy
114825,Horror
114825,Romance
115639,Comedy
115639,Drama
115639,Romance
115759,Action
115759,Adventure
115759,Thriller
113403,Comedy
113403,Drama
113247,Crime
113247,Drama
111173,Action
111173,Thriller
113283,Documentary
115907,Drama
115907,Thriller
115734,Adventure
115734,Comedy
115734,Crime
115734,Romance
117102,Comedy
118040,Mystery
118040,Sci-Fi
118040,Thriller
116483,Comedy
112579,Drama
112579,Romance
110251,Comedy
110251,Drama
117110,Adventure
117110,Children
117110,Comedy
117110,Musical
112646,Documentary
113276,Comedy
113276,Drama
113276,Thriller
112573,Action
112573,Drama
112573,War
75314,Crime
75314,Drama
75314,Thriller
113326,Action
113326,Adventure
113326,Comedy
113326,Crime
115645,Drama
115645,Mystery
113774,Drama
112556,Comedy
112373,Documentary
115033,Crime
115033,Drama
116606,Comedy
116606,Romance
114536,Comedy
117427,Adventure
117427,Comedy
117427,Drama
106473,Drama
103859,Comedy
103859,Romance
109424,Drama
109424,Mystery
109424,Romance
114808,Drama
116324,Comedy
110647,Adventure
110647,Children
110647,Fantasy
111055,Drama
110217,Documentary
114131,Comedy
114131,Romance
112364,Drama
113107,Drama
113107,Romance
113451,Thriller
114015,Comedy
114015,Drama
114500,Documentary
116130,Comedy
113125,Documentary
113756,Documentary
113952,Drama
114618,Action
114618,Drama
118055,Drama
118055,Romance
115685,Comedy
94878,Drama
113200,Drama
112585,Comedy
112442,Action
112442,Comedy
112442,Crime
112442,Drama
112442,Thriller
112342,Adventure
112342,Children
112461,Drama
112427,Drama
109093,Crime
109093,Drama
109093,Thriller
112384,Adventure
112384,Drama
112384,IMAX
114287,Action
114287,Drama
114287,Romance
114287,War
112288,Drama
112288,Horror
112462,Action
112462,Adventure
112462,Comedy
112462,Crime
61395,Drama
112495,Adventure
112495,Drama
112495,War
112541,Comedy
112541,Drama
109370,Comedy
109370,War
112642,Adventure
112642,Children
112688,Crime
112688,Drama
112688,Mystery
112715,Action
112715,Adventure
112715,Mystery
112715,Sci-Fi
112740,Drama
112740,Thriller
112740,War
109508,Documentary
112851,Action
112851,Romance
112851,Western
112857,Crime
112857,Film-Noir
112857,Mystery
112857,Thriller
112864,Action
112864,Crime
112864,Thriller
112887,Comedy
112887,Crime
112887,Drama
113044,Drama
113071,Action
113071,Drama
113071,Romance
113114,Adventure
113114,Children
113114,Drama
113243,Action
113243,Adventure
113243,Crime
113243,Thriller
113464,Comedy
113464,Drama
113481,Action
113481,Sci-Fi
113481,Thriller
113492,Action
113492,Crime
113492,Sci-Fi
113500,Comedy
113540,Drama
113677,Comedy
113690,Horror
107447,Comedy
107447,Drama
113729,Drama
113729,Romance
113749,Comedy
113749,Romance
113820,Action
113820,Children
113851,Drama
113851,Romance
110604,Comedy
110604,Horror
110604,Thriller
110620,Drama
113957,Action
113957,Crime
113957,Thriller
113986,Comedy
113986,Romance
114095,Comedy
114194,Fantasy
114194,Horror
114194,Mystery
114241,Comedy
